	total_counts	canon_counts	canon_status	author	title
FRA04401	41	11	high	Barbusse, Henri 	Le Feu : édition ELTeC
FRA04501	47	1	low	Barrès, Maurice 	Colette Baudoche : edition ELTeC
FRA04601	6	0	low	Bazin, René 	Le blé qui lève : édition ELTeC
FRA04701	6	0	low	Bourget, Paul 	Laurence Albani : édition ELTeC
FRA04801	2	0	low	Corday, Michel 	Les révélées : édition ELTeC
FRA04901	124	33	high	Dumas, Alexandre [Dumas père] 	Reine Margot : édition ELTeC
FRA05101	7	0	low	Eekhoud, Georges 	L'autre vue : édition ELTeC
FRA05201	12	0	low	Feuillet, Octave 	La petite Comtesse : edition ELTeC
FRA05301	1	0	low	Galopin, Arnould 	Le Docteur Omega : édition ELTeC
FRA05401	30	0	low	Kock, Paul de 	Madeleine : édition ELTeC
FRA05501	1	0	low	Lermina, Jules 	L'effrayante aventure : édition ELTeC
FRA05601	3	0	low	Lesueur, Daniel 	Droit à la force : édition ELTeC
FRA05602	14	0	low	Lesueur, Daniel 	Masque d'Amour : édition ELTeC
FRA05702	23	0	low	Maquet, Auguste 	La Maison du baigneur : édition ELTeC
FRA05801	3	0	low	Mille, Pierre 	Louise et Barnavaux : édition ELTeC
FRA05901	2	0	low	Moselly, Emile 	Terres lorraines : édition ELTeC
FRA06001	13	7	high	Rebell, Hugues 	Les Nuits chaudes du Cap français : édition ELTeC
FRA06101	61	1	low	Sandeau, Jules 	Mademoiselle de la Seigliere : édition ELTeC
FRA06201	3	0	low	Viel-Castel, Horace de 	Archambaud de Comborn : édition ELTeC
FRA06301	30	11	high	de Montépin, Xavier 	La porteuse de pain : édition ELTeC
FRA06401	11	0	low	Chandeneux, Claire de [Bérenger, Louise Lucienne Emma] 	Les Ménages militaires : édition ELTeC
FRA06501	3	0	low	Gyp [Mirabeau, Sibylle Riquetti de] 	Totote : édition ELTeC
FRA06601	2	0	low	Peladan, Joséphin [Joseph-Aimé Peladan] 	Modestie et vanité, roman (La décadence latine, éthopée, XVI) : édition ELTeC
