filename	xmlid	au-name	title	au-birth	au-death	au-gender	au-ids	copytext-yr	firsted-yr	title-ids	sizeCat	canonicity	time-slot	numwords	language
FRA01201_Feval	FRA01201	Féval, Paul Henri Corentin	Le Cavalier Fortune	1816	1887	M	viaf:17222447	NA	1868	viaf:unavailable	long	low	T2	136999	fra
FRA01702_GautierT	FRA01702	Gautier, Théophile	Le roman de la momie	1800	1872	M	viaf:96428598	NA	1857	NA	short	high	T1	45141	fra
FRA04001_Verne	FRA04001	Verne, Jules	Un capitaine de quinze ans	1828	1905	M	viaf:76323989	NA	1878	viaf:183081330	long	high	T2	124725	fra
FRA03001_Ohnet	FRA03001	Ohnet, Georges	La Grande Marnière	1848	1918	M	viaf:66497284	NA	1885	viaf:309268283	long	low	T3	115269	fra
FRA03002_Ohnet	FRA03002	Ohnet, Georges	L'Âme de Pierre	1848	1918	M	viaf:66497284	NA	1890	viaf:309283895	medium	low	T3	53382	fra
FRA02603_Malot	FRA02603	Malot, Hector	Conscience	1830	1907	M	viaf:49228546	NA	1888	viaf:310221173	long	low	T3	101840	fra
FRA03601_Proust	FRA03601	Proust, Marcel	Du côté de chez Swann	1871	1922	M	viaf:32001793	NA	1913	viaf:316309707	long	high	T4	181506	fra
FRA02203_Gouraud	FRA02203	Gouraud, Julie	Les Filles du professeur	1810	1891	M	viaf:31987653	NA	1876	viaf:unavailable	short	low	T2	45439	fra
FRA00502_Balzac	FRA00502	Balzac, Honoré de	Le cousin Pons	1799	1850	M	viaf:29529595	NA	1847	viaf:174988989	long	high	T1	111047	fra
FRA03802_Stern	FRA03802	Stern, Daniel	Nélida	1805	1876	F	viaf:186930001	NA	1846	NA	medium	low	T1	65549	fra
FRA00903_Daudet	FRA00903	Daudet, Alphonse	Numa Roumestan : Mœurs Parisiennes	1840	1897	M	viaf:4928621	NA	1881	viaf:287900644	medium	low	T3	85692	fra
FRA02302_Greville	FRA02302	Henry Gréville	L’amie	1842	1902	F	viaf:49258322	NA	1878	NA	short	low	T2	10562	fra
FRA04102_Erckmann	FRA04102	Erckmann, Émile	Madame Thérèse, ou les volontaires de 92	1822	1899	M	viaf:31995972	NA	1863	viaf:209896303	medium	high	T2	58842	fra
FRA02401_LeRouge	FRA02401	Le Rouge, Gustave	L'Esclave amoureuse	1867	1938	M	viaf:7392910	NA	1904	viaf:unavailable	short	low	T4	25038	fra
FRA02801_Mirbeau	FRA02801	Mirbeau, Octave	L'abbé Jules	1848	1917	M	viaf:100204602	NA	1888	viaf:310534644 	medium	high	T3	78132	fra
FRA03702_Sand	FRA03702	Sand, George	Le dernier amour	1804	1876	F	viaf:46766944	NA	1866	viaf:310216093	medium	high	T2	88165	fra
FRA01902_Gaboriau	FRA01902	Gaboriau, Émile	Monsieur Lecoq	1832	1873	M	viaf:100177491	NA	1869	viaf:310914713	long	high	T2	269763	fra
FRA01602_GautierJ	FRA01602	Gautier, Judith	Fleurs d'Orient	1845	1917	F	viaf:54148064	NA	1893	NA	medium	low	T3	50150	fra
FRA00102_Adam	FRA00102	Adam, Juliette	Païenne	1836	1936	F	viaf:64000638	NA	1883	NA	short	low	T3	28266	fra
FRA00901_Daudet	FRA00901	Daudet, Alphonse	Le petit chose	1840	1897	M	viaf:4928621	NA	1867	viaf:184784857	medium	high	T2	87744	fra
